"questionid","Total_Records_DataValue","Total_Records_DataValueAlt","Null_Records_DataValue","Null_Records_DataValueAlt"
"ALC10_0",55,55,0,55
"ALC1_1",51,51,0,10
"ALC1_2",55,55,0,32
"ALC2_1",55,55,0,9
"ALC2_2",1850,1850,0,310
"ALC2_3",705,705,0,335
"ALC3_0",1850,1850,0,639
"ALC4_0",1850,1850,0,652
"ALC5_1",1850,1850,0,644
"ALC5_2",705,705,0,425
"ALC6_0",6135,6135,0,2130
"ALC7_0",55,55,0,3
"ALC8_0_1",55,55,0,5
"ALC8_0_2",55,55,0,16
"ALC8_0_3",55,55,0,21
"ALC9_0",55,55,0,55
