"QuestionID","Total_Records","Null_Records_DataValue","Null_Records_DataValueAlt"
"TOB10_0",55,4,4
"TOB11_1",1850,649,649
"TOB11_2",1850,917,917
"TOB1_1",55,11,11
"TOB1_2",1850,169,169
"TOB1_3",705,255,255
"TOB1_4",55,33,33
"TOB2_1",55,13,13
"TOB2_2",1850,767,767
"TOB3_0",2610,708,708
"TOB4_0",54,3,54
"TOB5_0",54,3,54
"TOB6_0",55,3,3
"TOB7_0",54,3,54
"TOB8_0",55,4,4
"TOB9_0",55,11,11
"TOTAL",11262,3553,3706
