"questionid","Total_Records_DataValue","Total_Records_DataValueAlt","Null_Records_DataValue","Null_Records_DataValueAlt"
"ART1_1",1795,1795,144,144
"ART1_2",1795,1795,445,445
"ART1_3",1795,1795,606,606
"ART1_4",1795,1795,674,674
"ART2_0",925,925,153,153
"ART3_0",1795,1795,448,448
"ART4_0",1795,1795,416,416
"ART5_0",925,925,789,789
