"QuestionID","Total_Records","Null_Records_DataValue","Null_Records_DataValueAlt"
"OLD1_0",468,0,0
"OLD3_1",1026,299,299
"OLD3_2",1740,569,569
"OLD4_0",55,1,1
"TOTAL",3289,869,869
