"QuestionID","Total_Records","Null_Records_DataValue","Null_Records_DataValueAlt"
"OVC1_1",2610,395,395
"OVC1_2",975,223,223
"OVC1_3",55,32,32
"OVC2_1",55,2,2
"OVC2_2",55,2,2
"OVC3_1",55,2,2
"OVC3_2",55,3,3
"OVC4_1",52,0,0
"OVC4_2",52,0,0
"OVC5_0",6135,657,657
"OVC6_1",2610,267,267
"OVC6_2",975,220,220
"OVC7_1",2610,233,233
"OVC7_2",2610,345,345
"OVC8_0",2610,906,906
"OVC9_0",55,2,2
"TOTAL",21569,3289,3289
