"QuestionID","Total_Records","Null_Records_DataValue","Null_Records_DataValueAlt"
"ORH1_1",1184,193,193
"ORH1_2",156,0,0
"ORH2_1",156,0,0
"ORH2_2",55,32,32
"ORH3_0",55,0,0
"ORH4_1",1184,353,353
"ORH4_2",1184,320,320
"ORH4_3",1184,196,196
"ORH5_0",55,3,3
"TOTAL",5213,1097,1097
