"QuestionID","Total_Records","Null_Records_DataValue","Null_Records_DataValueAlt"
"ALC10_0",55,5,55
"ALC1_1",51,10,10
"ALC1_2",55,32,32
"ALC2_1",55,9,9
"ALC2_2",1850,310,310
"ALC2_3",705,335,335
"ALC3_0",1850,639,639
"ALC4_0",1850,652,652
"ALC5_1",1850,644,644
"ALC5_2",705,425,425
"ALC6_0",6135,0,2130
"ALC7_0",55,3,3
"ALC8_0_1",55,5,5
"ALC8_0_2",55,16,16
"ALC8_0_3",55,21,21
"ALC9_0",55,4,55
"TOTAL",15436,3110,5341
