"questionid","Total_Records_DataValue","Total_Records_DataValueAlt","Null_Records_DataValue","Null_Records_DataValueAlt"
"CKD2_1",104,104,0,0
"CKD2_2",104,104,0,0
"CKD3_0",1850,1850,673,673
